"NewDate","Category","count"
"2020-10","Housing and Homelessness",829
"2020-10","Income Maintenance",59
"2020-10","Individual Rights",204
"2020-10","Juvenile",5
"2020-10","Other",874
"2020-10","Work, Employment and Unemployment",247
"2020-11","Consumer Financial Questions",330
"2020-11","Education",19
"2020-11","Family and Children",1752
"2020-11","Health and Disability",54
"2020-11","Housing and Homelessness",742
"2020-11","Income Maintenance",53
"2020-11","Individual Rights",176
"2020-11","Juvenile",9
"2020-11","Other",855
"2020-11","Work, Employment and Unemployment",248
"2020-12","Consumer Financial Questions",370
"2020-12","Education",12
"2020-12","Family and Children",1729
"2020-12","Health and Disability",77
"2020-12","Housing and Homelessness",761
"2020-12","Income Maintenance",58
"2020-12","Individual Rights",198
"2020-12","Juvenile",5
"2020-12","Other",911
"2020-12","Work, Employment and Unemployment",272
"2021-01","Consumer Financial Questions",407
"2021-01","Education",14
"2021-01","Family and Children",2117
"2021-01","Health and Disability",67
"2021-01","Housing and Homelessness",851
"2021-01","Income Maintenance",73
"2021-01","Individual Rights",212
"2021-01","Juvenile",10
"2021-01","Other",1006
"2021-01","Work, Employment and Unemployment",293
"2021-02","Consumer Financial Questions",388
"2021-02","Education",6
"2021-02","Family and Children",1749
"2021-02","Health and Disability",67
"2021-02","Housing and Homelessness",826
"2021-02","Income Maintenance",50
"2021-02","Individual Rights",184
"2021-02","Juvenile",15
"2021-02","Other",857
"2021-02","Work, Employment and Unemployment",257
"2021-03","Consumer Financial Questions",378
"2021-03","Education",17
"2021-03","Family and Children",1765
"2021-03","Health and Disability",57
"2021-03","Housing and Homelessness",753
"2021-03","Income Maintenance",87
"2021-03","Individual Rights",189
"2021-03","Juvenile",1
"2021-03","Other",897
"2021-03","Work, Employment and Unemployment",247
"2021-04","Consumer Financial Questions",311
"2021-04","Education",14
"2021-04","Family and Children",1598
"2021-04","Health and Disability",63
"2021-04","Housing and Homelessness",705
"2021-04","Income Maintenance",65
"2021-04","Individual Rights",196
"2021-04","Juvenile",3
"2021-04","Other",811
"2021-04","Work, Employment and Unemployment",248
"2021-05","Consumer Financial Questions",335
"2021-05","Education",11
"2021-05","Family and Children",1608
"2021-05","Health and Disability",50
"2021-05","Housing and Homelessness",766
"2021-05","Income Maintenance",53
"2021-05","Individual Rights",171
"2021-05","Juvenile",8
"2021-05","Other",843
"2021-05","Work, Employment and Unemployment",184
"2021-06","Consumer Financial Questions",336
"2021-06","Education",15
"2021-06","Family and Children",1985
"2021-06","Health and Disability",70
"2021-06","Housing and Homelessness",892
"2021-06","Income Maintenance",47
"2021-06","Individual Rights",227
"2021-06","Juvenile",8
"2021-06","Other",983
"2021-06","Work, Employment and Unemployment",277
"2021-07","Consumer Financial Questions",380
"2021-07","Education",6
"2021-07","Family and Children",1774
"2021-07","Health and Disability",68
"2021-07","Housing and Homelessness",888
"2021-07","Income Maintenance",64
"2021-07","Individual Rights",238
"2021-07","Juvenile",5
"2021-07","Other",995
"2021-07","Work, Employment and Unemployment",256
"2021-08","Consumer Financial Questions",322
"2021-08","Education",20
"2021-08","Family and Children",1703
"2021-08","Health and Disability",47
"2021-08","Housing and Homelessness",936
"2021-08","Income Maintenance",55
"2021-08","Individual Rights",223
"2021-08","Juvenile",11
"2021-08","Other",991
"2021-08","Work, Employment and Unemployment",251
"2021-09","Consumer Financial Questions",330
"2021-09","Education",21
"2021-09","Family and Children",1728
"2021-09","Health and Disability",78
"2021-09","Housing and Homelessness",889
"2021-09","Income Maintenance",58
"2021-09","Individual Rights",190
"2021-09","Juvenile",6
"2021-09","Other",890
"2021-09","Work, Employment and Unemployment",234
"2021-10","Consumer Financial Questions",334
"2021-10","Education",28
"2021-10","Family and Children",1704
"2021-10","Health and Disability",58
"2021-10","Housing and Homelessness",831
"2021-10","Income Maintenance",63
"2021-10","Individual Rights",210
"2021-10","Juvenile",6
"2021-10","Other",925
"2021-10","Work, Employment and Unemployment",262
"2021-11","Consumer Financial Questions",290
"2021-11","Education",28
"2021-11","Family and Children",1605
"2021-11","Health and Disability",59
"2021-11","Housing and Homelessness",802
"2021-11","Income Maintenance",45
"2021-11","Individual Rights",180
"2021-11","Juvenile",7
"2021-11","Other",905
"2021-11","Work, Employment and Unemployment",213
"2021-12","Consumer Financial Questions",321
"2021-12","Education",10
"2021-12","Family and Children",1595
"2021-12","Health and Disability",67
"2021-12","Housing and Homelessness",689
"2021-12","Income Maintenance",34
"2021-12","Individual Rights",219
"2021-12","Juvenile",4
"2021-12","Other",812
"2021-12","Work, Employment and Unemployment",187
"2022-01","Consumer Financial Questions",296
"2022-01","Education",12
"2022-01","Family and Children",1366
"2022-01","Health and Disability",44
"2022-01","Housing and Homelessness",679
"2022-01","Income Maintenance",42
"2022-01","Individual Rights",169
"2022-01","Juvenile",2
"2022-01","Other",706
"2022-01","Work, Employment and Unemployment",205
